       0 x:     1.898 y:    -0.532 z:    -0.390     2.010 
    1000 x:     1.828 y:    -0.151 z:    -0.547     1.914 
    2000 x:     1.909 y:    -0.393 z:    -0.977     2.180 
    3000 x:     3.083 y:    -0.843 z:    -0.259     3.207 
    4000 x:     4.875 y:    -0.627 z:    -0.103     4.916 
    5000 x:     5.169 y:    -2.591 z:    -0.064     5.782 
    6000 x:     5.757 y:    -3.332 z:     0.607     6.679 
    7000 x:     5.817 y:    -2.916 z:    -0.258     6.512 
    8000 x:     4.549 y:    -2.383 z:     0.179     5.138 
    9000 x:     6.687 y:    -4.635 z:    -0.099     8.137 
   10000 x:     4.823 y:    -3.984 z:    -0.265     6.261 
   11000 x:     3.607 y:    -2.502 z:     0.228     4.396 
   12000 x:     2.608 y:    -2.659 z:    -0.025     3.725 
   13000 x:     3.182 y:    -2.820 z:    -0.010     4.252 
   14000 x:     3.024 y:    -3.049 z:     0.441     4.317 
   15000 x:     1.194 y:    -1.480 z:    -0.084     1.903 
   16000 x:     2.259 y:    -1.605 z:     0.205     2.779 
   17000 x:     2.835 y:    -2.675 z:     0.443     3.923 
   18000 x:     1.828 y:    -1.999 z:     0.280     2.723 
   19000 x:     0.059 y:    -1.281 z:    -0.350     1.330 
   20000 x:     1.683 y:    -3.047 z:     0.449     3.510 
   21000 x:    -0.289 y:    -3.126 z:     0.571     3.190 
   22000 x:     0.822 y:    -2.967 z:    -0.154     3.083 
   23000 x:     0.568 y:    -2.326 z:     0.145     2.398 
   24000 x:    -0.164 y:    -2.634 z:     0.132     2.643 
   25000 x:     0.272 y:    -2.730 z:     0.366     2.768 
   26000 x:     2.157 y:    -2.407 z:    -0.385     3.255 
   27000 x:     1.849 y:    -1.848 z:     0.503     2.662 
   28000 x:     1.272 y:    -3.387 z:    -0.421     3.642 
   29000 x:     2.130 y:    -3.086 z:     0.230     3.757 
   30000 x:     2.894 y:    -2.067 z:    -0.004     3.556 
   31000 x:     5.735 y:    -4.174 z:     0.236     7.097 
   32000 x:     4.185 y:    -1.912 z:     0.103     4.602 
   33000 x:     5.704 y:    -5.533 z:    -0.010     7.947 
   34000 x:     6.519 y:    -4.646 z:    -0.065     8.006 
   35000 x:     8.988 y:    -5.367 z:     0.832    10.501 
   36000 x:     8.374 y:    -4.180 z:    -0.122     9.361 
   37000 x:     5.523 y:    -3.646 z:    -0.076     6.618 
   38000 x:     5.567 y:    -3.418 z:    -0.156     6.535 
   39000 x:     7.367 y:    -4.483 z:     0.175     8.626 
   40000 x:     7.045 y:    -4.429 z:    -0.008     8.321 
   41000 x:     6.464 y:    -3.601 z:     0.616     7.424 
   42000 x:     7.147 y:    -4.210 z:     0.236     8.298 
   43000 x:     5.824 y:    -3.442 z:     0.005     6.765 
   44000 x:     7.032 y:    -4.856 z:    -0.307     8.552 
   45000 x:     7.033 y:    -3.652 z:     0.279     7.930 
   46000 x:     7.207 y:    -4.327 z:    -0.501     8.421 
   47000 x:     6.365 y:    -4.747 z:     0.194     7.943 
   48000 x:     6.934 y:    -4.851 z:     0.024     8.463 
   49000 x:    10.881 y:    -2.142 z:    -0.034    11.090 
